cleaned_area,cleaned_road,bed,bath,floor,is_land,tag,Loại địa ốc,Pháp lý,cleaned_price
80.0,40.0,2.0,2.0,16.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,8000.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5000.0
127.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,10500.0
48.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4800.0
260.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,16000.0
260.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,16000.0
70.2,5.0,3.0,2.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,7900.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,2700.0
110.0,12.5,5.0,5.0,4.0,0,da_nang,bán nhà phố dự án,Sổ hồng,8000.0
88.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,17300.0
102.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,24700.0
110.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,3000.0
45.4,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,2630.0
77.6,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,3700.0
108.0,9.0,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,Giấy đỏ,1200.0
54.0,2.0,2.0,1.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,2450.0
176.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,8700.0
52.0,2.0,2.0,1.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,1950.0
260.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,16000.0
260.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,16000.0
176.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,8700.0
260.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,16000.0
260.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,16000.0
220.0,5.0,3.0,3.0,3.0,0,da_nang,bán biệt thự,Sổ hồng,18000.0
72.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,2800.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6200.0
53.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,5700.0
81.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8000.0
36.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,3000.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,8000.0
150.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,13500.0
